mmsi,vesselName,vesselLength,vesselBeam,vesselDraft,vesselGrossTonnage
218582000,MSC Charleston,324.9,42.8,,89954
232005097,Autonaut Islay,,,,
236483000,Sanco Star,80,16,,3953
239962000,Makronissos,244,42,,57062
240953000,United Grace,250,44,,62775
259645000,Artemis Arctic,74.3,18,,3947
303071000,Gol Diamond,59.9,14.6,,1111
303075000,Amy Clemos McCall,61.6,10.4,,493
303250000,Ginny Lab,50,9.1,,347
303458000,Brad Dartez,95.1,20.1,,5376
303517000,Joshua Candies,86.8,18.7,,3336
338032000,Agnes Candies,84,18,,3563
338047000,Fast Runner,56.1,9.15,,449
338060000,Regulus,82.9,17.7,,2918
338125916,Marco Polo,,,,
338212000,Horn Island,95.1,20.1,,4828
338225000,Harvey Energy,92.1,19.5,,4458
338263000,Harvey Sub Sea,99.7,22.3,,8417
338281000,Gemi,91.4,18.3,,3400
338297000,Seacor Chief,61.3,14.6,,1424
338341000,Harvey Challenger,61.4,14.6,,1424
338366000,Sun River,59,13.4,,961
338397000,Polaris,82.9,17.7,,2918
338484000,C Endurance,91.2,18.3,,3242
338536000,Hilda Lab,79.3,18.3,,2287
338582000,Emily Day McCall,61.6,10.4,,493
338601000,Fast Server,58.2,9.8,,491
338628000,Odyssea Baron,74.7,16.2,,1854
338633000,Seacor Fearless,61.3,14.6,,1445
338683000,Fast Hauler,56.1,9.2,,449
338714000,HOS Centerline,116.2,22,,5960
338748000,HOS Pioneer,67,14,,1255
338748000,Hercules,88,18.8,,4092
338759000,Ocean Intervention II,75.6,16.3,,2255
338768000,Ram Nation,82.3,6,,2971
338798000,Harvey Blue Sea,99.7,22.3,,8417
345050023,HOS Deepwater,72.5,16.5,,1549
352683000,West Capricorn,115.7,90.4,,30147
355843000,7 Oceans,35,9,,370
357647000,Grand Canyon II,125.4,25.1,,12433
366374000,Carol Chouest,85.3,18.3,,2996
366495000,Overseas Chinook,183,32.2,,29234
366515000,Blue Tarpon,91.6,18.3,,4957
366602000,S.T. Benz Responder,63.6,13.4,,1335
366667000,Juan C,91.2,18.3,,3242
366724000,Michael Crombie McCall,61.6,10.4,,493
366805350,Crosby Trinity ,30.5,8.8,,278
366818670,Madison,,,,
366825310,C Truc 7,51.8,12.2,,624
366839180,Callie Jean,42.7,8.2,,266
366840000,Harvey Champion,89,19.5,,3912
366854410,HMS Valor,51.5,14,,703
366857940,Jessica Elizabeth,48.8,9.1,,338
366869000,Fast Carrier,54,9.2,,449
366898000,K Marine 7,61.1,14,,1104
366935000,Charlie Comeaux,91.1,18.3,,3242
